Stand ID,Mgmt ID,TreatmentSchedule,2015,2055
2_25090_MCD,NONE,both,TRUE,TRUE
2_25647_MCD,E45,both,FALSE,FALSE
2_25647_MCD,E85,both,FALSE,FALSE
2_25647_MCD,NONE,both,FALSE,FALSE
2_26627_MCD,E45,both,FALSE,FALSE
2_26627_MCD,E85,both,FALSE,FALSE
2_26627_MCD,NONE,both,TRUE,TRUE
2_26870_MCD,E45,both,FALSE,FALSE
2_26870_MCD,E85,both,FALSE,FALSE
2_26870_MCD,NONE,both,TRUE,TRUE
2_28983_MCD,E45,both,FALSE,FALSE
2_28983_MCD,E85,both,FALSE,FALSE
2_28983_MCD,NONE,both,FALSE,FALSE
2_29378_MCD,E45,both,FALSE,FALSE
2_29378_MCD,E85,both,FALSE,FALSE
2_29378_MCD,NONE,both,FALSE,FALSE
2_29379_MCD,E45,both,FALSE,FALSE
2_29379_MCD,E85,both,FALSE,FALSE
2_29379_MCD,NONE,both,FALSE,FALSE
2_29387_MCD,E45,both,FALSE,FALSE
2_29387_MCD,E85,both,FALSE,FALSE
2_29387_MCD,NONE,both,FALSE,FALSE
2_29453_MCD,E45,both,FALSE,FALSE
2_29453_MCD,E85,both,FALSE,FALSE
2_29453_MCD,NONE,both,FALSE,FALSE
2_29454_MCD,E45,both,FALSE,FALSE
2_29454_MCD,E85,both,FALSE,FALSE
2_29454_MCD,NONE,both,TRUE,FALSE
2_29474_MCD,E45,both,FALSE,FALSE
2_29474_MCD,E85,both,FALSE,FALSE
2_29474_MCD,NONE,both,FALSE,FALSE
2_29477_MCD,E45,both,TRUE,TRUE
2_29477_MCD,E85,both,TRUE,TRUE
2_29477_MCD,NONE,both,TRUE,TRUE
2_29491_MCD,E45,both,FALSE,FALSE
2_29491_MCD,E85,both,FALSE,FALSE
2_29491_MCD,NONE,both,FALSE,FALSE
2_73196_MCD,E45,both,FALSE,FALSE
2_73196_MCD,E85,both,FALSE,FALSE
2_73196_MCD,NONE,both,FALSE,FALSE
2_73774_MCD,E45,both,FALSE,FALSE
2_73774_MCD,E85,both,FALSE,FALSE
2_73774_MCD,NONE,both,FALSE,FALSE
2_78626_MCD,E45,both,FALSE,FALSE
2_78626_MCD,E85,both,FALSE,FALSE
2_78626_MCD,NONE,both,FALSE,FALSE
2_78660_MCD,E45,both,FALSE,FALSE
2_78660_MCD,E85,both,FALSE,FALSE
2_78660_MCD,NONE,both,FALSE,FALSE
2_80283_MCD,E45,both,FALSE,FALSE
2_80283_MCD,E85,both,FALSE,FALSE
2_80283_MCD,NONE,both,FALSE,FALSE
2_80665_MCD,E45,both,FALSE,FALSE
2_80665_MCD,E85,both,FALSE,FALSE
2_80665_MCD,NONE,both,FALSE,FALSE
2_82945_MCD,E45,both,FALSE,FALSE
2_82945_MCD,E85,both,FALSE,FALSE
2_82945_MCD,NONE,both,TRUE,TRUE
2_83102_MCD,E45,both,FALSE,FALSE
2_83102_MCD,E85,both,FALSE,FALSE
2_83102_MCD,NONE,both,FALSE,FALSE
2_84280_MCD,E45,both,FALSE,FALSE
2_84280_MCD,E85,both,FALSE,FALSE
2_84280_MCD,NONE,both,FALSE,FALSE
2_87684_MCD,E45,both,FALSE,FALSE
2_87684_MCD,E85,both,FALSE,FALSE
2_87684_MCD,NONE,both,FALSE,FALSE
2_89425_MCD,E45,both,FALSE,FALSE
2_89425_MCD,E85,both,FALSE,FALSE
2_89425_MCD,NONE,both,FALSE,FALSE
2_90854_MCD,E45,both,FALSE,FALSE
2_90854_MCD,E85,both,FALSE,FALSE
2_90854_MCD,NONE,both,FALSE,FALSE
2_92837_MCD,E45,both,TRUE,FALSE
2_92837_MCD,E85,both,TRUE,FALSE
2_92837_MCD,NONE,both,TRUE,FALSE
2_93828_MCD,E45,both,FALSE,FALSE
2_93828_MCD,E85,both,FALSE,FALSE
2_93828_MCD,NONE,both,FALSE,FALSE
2_93863_MCD,E45,both,TRUE,FALSE
2_93863_MCD,E85,both,TRUE,FALSE
2_93863_MCD,NONE,both,TRUE,FALSE
2_93981_MCD,E45,both,FALSE,FALSE
2_93981_MCD,E85,both,FALSE,FALSE
2_93981_MCD,NONE,both,FALSE,FALSE
2_94628_MCD,E45,both,FALSE,FALSE
2_94628_MCD,E85,both,FALSE,FALSE
2_94628_MCD,NONE,both,TRUE,TRUE
2_100761_MCD,E45,both,FALSE,FALSE
2_100761_MCD,E85,both,FALSE,FALSE
2_100761_MCD,NONE,both,FALSE,FALSE
2_105189_MCD,E45,both,FALSE,FALSE
2_105189_MCD,E85,both,FALSE,FALSE
2_105189_MCD,NONE,both,FALSE,FALSE
2_105510_MCD,E45,both,FALSE,FALSE
2_105510_MCD,E85,both,FALSE,FALSE
2_105510_MCD,NONE,both,FALSE,FALSE
2_105512_MCD,E45,both,FALSE,FALSE
2_105512_MCD,E85,both,FALSE,FALSE
2_105512_MCD,NONE,both,FALSE,FALSE
2_105519_MCD,E45,both,FALSE,FALSE
2_105519_MCD,E85,both,FALSE,FALSE
2_105519_MCD,NONE,both,FALSE,FALSE
2_128648_MCD,E45,both,FALSE,FALSE
2_128648_MCD,E85,both,FALSE,FALSE
2_128648_MCD,NONE,both,FALSE,FALSE
2_129282_MCD,E45,both,FALSE,FALSE
2_129282_MCD,E85,both,FALSE,FALSE
2_129282_MCD,NONE,both,FALSE,FALSE
2_129397_MCD,E45,both,FALSE,FALSE
2_129397_MCD,E85,both,FALSE,FALSE
2_129397_MCD,NONE,both,FALSE,FALSE
2_129875_MCD,E45,both,FALSE,FALSE
2_129875_MCD,E85,both,FALSE,FALSE
2_129875_MCD,NONE,both,FALSE,FALSE
2_131283_MCD,E45,both,FALSE,FALSE
2_131283_MCD,E85,both,FALSE,FALSE
2_131283_MCD,NONE,both,FALSE,FALSE
2_134808_MCD,E45,both,FALSE,FALSE
2_134808_MCD,E85,both,FALSE,FALSE
2_134808_MCD,NONE,both,FALSE,FALSE
2_135449_MCD,E45,both,TRUE,FALSE
2_135449_MCD,E85,both,TRUE,FALSE
2_135449_MCD,NONE,both,TRUE,FALSE
2_135799_MCD,E45,both,FALSE,FALSE
2_135799_MCD,E85,both,FALSE,FALSE
2_135799_MCD,NONE,both,FALSE,FALSE
2_136199_MCD,E45,both,FALSE,FALSE
2_136199_MCD,E85,both,FALSE,FALSE
2_136199_MCD,NONE,both,FALSE,FALSE
2_136433_MCD,E45,both,FALSE,FALSE
2_136433_MCD,E85,both,FALSE,FALSE
2_136433_MCD,NONE,both,FALSE,TRUE
2_137256_MCD,E45,both,FALSE,FALSE
2_137256_MCD,E85,both,FALSE,FALSE
