Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
28_24218_MCD,NONE,2095,9,trtInBoth
105_8508_MCW,NONE,2095,13,trtInBoth
72_137471_MHD,NONE,2095,13,trtInBoth
53_20529_MCD,NONE,2095,9,trtInBoth
25_137213_MHD,NONE,2095,9,trtInBoth
101_84334_MCW,NONE,2095,13,trtInBoth
117_145522_MHD,NONE,2095,13,trtInBoth
16_21178_MCD,NONE,2095,13,trtInBoth
85_94203_MHD,NONE,2095,9,trtInBoth
35_145200_MCD,NONE,2095,5,trtInBoth
67_24617_MHD,NONE,2095,13,trtInBoth
61_13574_MHD,NONE,2095,13,trtInBoth
68_14981_MHD,NONE,2095,13,trtInBoth
210_137268_MCW,NONE,2095,13,trtInBoth
78_24440_MHD,NONE,2095,9,trtInBoth
300_25150_MHD,NONE,2095,13,trtInBoth
20_24642_MHD,NONE,2095,13,trtInBoth
266_149512_MHD,NONE,2095,9,trtInBoth
134_2331_MCD,NONE,2095,9,trtInBoth
224_141180_MHD,NONE,2095,5,trtInBoth
214_25253_MCD,NONE,2095,13,trtInBoth
118_137417_MCW,NONE,2095,9,trtInBoth
98_14563_LPD,NONE,2095,5,trtInBoth
112_25151_MCD,NONE,2095,12,trtInBoth
67_137492_MHD,NONE,2095,5,trtInBoth
93_14451_MCD,NONE,2095,13,trtInBoth
221_24337_MCD,NONE,2095,5,trtInBoth
122_149408_MCW,NONE,2095,9,trtInBoth
122_24238_MCW,NONE,2095,9,trtInBoth
226_14451_MHD,NONE,2095,13,trtInBoth
226_14452_MHD,NONE,2095,13,trtInBoth
149_2932_MCW,NONE,2095,9,trtInBoth
5_21437_MHD,NONE,2095,5,trtInBoth
42_13450_MCW,NONE,2095,5,trtInBoth
160_141067_MHD,NONE,2095,12,trtInBoth
290_11892_MCW,NONE,2095,9,trtInBoth
86_149639_MHD,NONE,2095,13,trtInBoth
201_13031_MCD,NONE,2095,13,trtInBoth
138_149639_MHD,NONE,2095,9,trtInBoth
177_137256_MCW,NONE,2095,12,trtInBoth
294_25053_MCW,NONE,2095,13,trtInBoth
209_137298_MHD,NONE,2095,5,trtInBoth
92_24236_MHD,NONE,2095,9,trtInBoth
112_14292_MCD,NONE,2095,9,trtInBoth
95_130881_MCD,NONE,2095,5,trtInBoth
72_8277_MHD,NONE,2095,13,trtInBoth
19_24463_MHD,NONE,2095,9,trtInBoth
34_78788_MHD,NONE,2095,9,trtInBoth
122_25019_MCW,NONE,2095,9,trtInBoth
2_25647_MCD,NONE,2095,5,trtInBoth
136_20557_MCW,NONE,2095,5,trtInBoth
92_94201_MHD,NONE,2095,5,trtInBoth
92_94203_MHD,NONE,2095,9,trtInBoth
136_137367_MCW,NONE,2095,8,trtInBoth
200_84334_MCD,NONE,2095,9,trtInBoth
131_21178_MCD,NONE,2095,13,trtInBoth
114_137472_MCD,NONE,2095,9,trtInBoth
128_83057_MHD,NONE,2095,9,trtInBoth
196_149512_MHD,NONE,2095,9,trtInBoth
30_137341_MHD,NONE,2095,13,trtInBoth
101_24617_MCW,NONE,2095,9,trtInBoth
74_8661_MHD,NONE,2095,13,trtInBoth
264_14452_MHD,NONE,2095,13,trtInBoth
264_14451_MHD,NONE,2095,13,trtInBoth
93_136960_MCD,NONE,2095,5,trtInBoth
170_8959_MCD,NONE,2095,12,trtInBoth
44_25120_MCD,NONE,2095,12,trtInBoth
226_21112_MHD,NONE,2095,13,trtInBoth
48_137492_MCW,NONE,2095,13,trtInBoth
216_137492_MHD,NONE,2095,5,trtInBoth
3_137318_MHD,NONE,2095,5,trtInBoth
104_24238_MCW,NONE,2095,9,trtInBoth
