stand,climateScenario,none,first,second,both
221,Ensemble_rcp45,True,True,True,True
221,Ensemble_rcp85,True,True,True,True
222,NONE,True,True,True,True
222,Ensemble_rcp45,True,True,True,True
222,Ensemble_rcp85,True,True,True,True
223,NONE,False,False,False,False
223,Ensemble_rcp45,False,False,False,False
223,Ensemble_rcp85,False,False,False,False
224,NONE,True,True,True,True
224,Ensemble_rcp45,True,True,True,True
224,Ensemble_rcp85,True,True,True,True
225,NONE,True,True,True,True
225,Ensemble_rcp45,True,True,True,True
225,Ensemble_rcp85,True,True,True,True
226,NONE,False,False,False,False
226,Ensemble_rcp45,False,False,False,False
226,Ensemble_rcp85,False,False,False,False
227,NONE,False,False,False,False
227,Ensemble_rcp45,False,False,False,False
227,Ensemble_rcp85,False,False,False,False
228,NONE,True,True,True,True
228,Ensemble_rcp45,True,True,True,True
228,Ensemble_rcp85,False,True,False,True
229,NONE,True,True,True,True
229,Ensemble_rcp45,True,True,True,True
229,Ensemble_rcp85,True,True,True,True
230,NONE,True,True,True,True
230,Ensemble_rcp45,True,True,True,True
230,Ensemble_rcp85,True,True,True,True
231,NONE,True,True,True,True
231,Ensemble_rcp45,True,True,True,True
231,Ensemble_rcp85,True,True,True,True
232,NONE,False,False,False,False
232,Ensemble_rcp45,False,False,False,False
232,Ensemble_rcp85,False,False,False,False
233,NONE,False,False,False,False
233,Ensemble_rcp45,False,False,False,False
233,Ensemble_rcp85,False,False,False,False
234,NONE,False,False,False,False
234,Ensemble_rcp45,False,False,False,False
234,Ensemble_rcp85,False,False,False,False
235,NONE,False,False,False,False
235,Ensemble_rcp45,False,False,False,False
235,Ensemble_rcp85,False,False,False,False
236,NONE,False,False,False,False
236,Ensemble_rcp45,False,False,False,False
236,Ensemble_rcp85,False,False,False,False
237,NONE,False,False,False,False
237,Ensemble_rcp45,False,False,False,False
237,Ensemble_rcp85,False,False,False,False
238,NONE,False,False,False,False
238,Ensemble_rcp45,False,False,False,False
238,Ensemble_rcp85,False,False,False,False
239,NONE,False,False,False,False
239,Ensemble_rcp45,False,False,False,False
239,Ensemble_rcp85,False,False,False,False
240,NONE,False,False,False,False
240,Ensemble_rcp45,False,False,False,False
240,Ensemble_rcp85,False,False,False,False
241,NONE,True,True,True,True
241,Ensemble_rcp45,True,True,True,True
241,Ensemble_rcp85,True,True,True,True
242,NONE,True,False,True,False
242,Ensemble_rcp45,True,False,True,False
242,Ensemble_rcp85,True,False,True,False
243,NONE,True,True,True,True
243,Ensemble_rcp45,True,True,True,True
243,Ensemble_rcp85,True,True,True,True
244,NONE,False,False,False,False
244,Ensemble_rcp45,False,False,False,False
244,Ensemble_rcp85,False,False,False,False
245,NONE,False,False,False,False
245,Ensemble_rcp45,False,False,False,False
245,Ensemble_rcp85,False,False,False,False
246,NONE,False,False,False,False
246,Ensemble_rcp45,False,False,False,False
246,Ensemble_rcp85,False,False,False,False
247,NONE,False,False,False,False
247,Ensemble_rcp45,False,False,False,False
247,Ensemble_rcp85,False,False,False,False
248,NONE,False,False,False,False
