stand,climateScenario,none,first,second,both
47.0,Ensemble_rcp45,-256.6227892441374,-234.56143400538738,-141.3932313028977,-254.79953674506714
47.0,Ensemble_rcp85,-290.99109885161147,-244.4069975003667,-224.1688947606869,-132.27696880754644
48.0,NONE,-91.1501972317504,-79.9221903952496,-88.58632165491161,-107.5059552219287
48.0,Ensemble_rcp45,-143.13498478972244,-105.20730815303875,-76.03217227866665,-119.52964758227597
48.0,Ensemble_rcp85,-137.83041463074568,-99.46069048081395,-13.349834900091471,-117.14259101073644
49.0,NONE,-210.0045452572046,-186.40754330474508,-162.72282015543627,-170.61772787187257
49.0,Ensemble_rcp45,-211.7589691941904,-212.10985398158755,-167.63520717899664,-105.44087861284873
49.0,Ensemble_rcp85,-218.95210733583235,-215.09237467446349,-174.91606651748785,-179.03896276940458
50.0,NONE,-191.34881679773576,-143.33109484660582,-143.0603182190618,-122.66181227741642
50.0,Ensemble_rcp45,-184.03784785404866,-180.87878719936904,-101.99252970822698,-107.4080622591063
50.0,Ensemble_rcp85,-194.68839520411126,-186.38457862609633,-143.0603182190618,-163.54908303655517
51.0,NONE,-16.966547443046252,-14.3632147666,-14.45298485889125,-20.647121226987505
51.0,Ensemble_rcp45,-9.425859690581252,-0.359080369165,-16.966547443046252,-0.1795401845825
51.0,Ensemble_rcp85,0.0,0.0,0.0,-0.1795401845825
52.0,NONE,-63.90968003954546,-44.52648666560607,-59.06388169606061,-63.26966893757577
52.0,Ensemble_rcp45,-70.40122121666666,-40.41212958151516,-51.566608787272735,-58.33244043666667
52.0,Ensemble_rcp85,-70.4926513740909,-41.96644225772728,-53.12092146348487,-53.57807225060607
53.0,NONE,-118.98216669297535,-58.543916742790785,-87.22953388332617,-70.00012233036306
53.0,Ensemble_rcp45,-76.85580441426465,-48.26039361693847,-54.93566301442154,-38.60831489355077
53.0,Ensemble_rcp85,-68.46661449580616,-42.03615593550155,-52.04906003172616,-44.02069548610462
54.0,NONE,-169.02776031786996,-124.6837807124384,-140.392680370233,-149.09989903769633
54.0,Ensemble_rcp45,-39.137601433134,-128.99250747571918,-26.48071656599664,-5.744969017707745
54.0,Ensemble_rcp85,-0.44882570450841613,-20.556217266485525,2.6929542270505076,-21.812929239109096
